id,product_id,title,brand,category,subcategory,description,image,slug,variations,offers,is_active,keyspecs,timestamp,origin,images
13,PRDCT13,test product 13,80,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_KUx2OxV.jpg,,"67,68,69",,1,"2,4,5",,IN,"25,26,27,28,29,"
14,PRDCT14,test product 14,7,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_Jo25JkP.jpg,,"70,71,72",5,1,"2,4,5",,IN,"15,16,17,18,19,"
15,PRDCT15,test product 15,96,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_aLBH1dT.jpg,,"73,74,75",,1,"2,4,5",,IN,"20,21,22,23,24,"
16,PRDCT16,test product 16,19,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_RJMLKMW.webp,,"76,77,78",26,1,"2,4,5",,IN,"25,26,27,28,29,"
17,PRDCT17,test product 17,57,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_hcdpXA9.jpg,,"79,80,81",,1,"2,4,5",,IN,"15,16,17,18,19,"
18,PRDCT18,test product 18,81,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_s4JtHCr.webp,,"82,83,84",13,1,"2,4,5",,IN,"20,21,22,23,24,"
19,PRDCT19,test product 19,29,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_QgEvjJW.jpg,,"85,86,87",,1,"2,4,5",,IN,"25,26,27,28,29,"
20,PRDCT20,test product 20,47,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_lQN8p36.jpg,,"88,89,90",11,1,"2,4,5",,IN,"15,16,17,18,19,"
21,PRDCT21,test product 21,75,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.jpg,,"91,92,93",,1,"2,4,5",,IN,"20,21,22,23,24,"
22,PRDCT22,test product 22,20,1,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_31KTRso.jpg,,"94,95,96",10,1,"2,4,5",,IN,"25,26,27,28,29,"
23,PRDCT23,test product 23,89,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_qRkvR6t.jpg,,"97,98,99",,1,"2,4,5",,IN,"15,16,17,18,19,"
24,PRDCT24,test product 24,61,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_fBPlGwn.jpg,,"100,101,102",13,1,"2,4,5",,IN,"20,21,22,23,24,"
25,PRDCT25,test product 25,73,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_7fr8juG.jpg,,"103,104,105",,1,"2,4,5",,IN,"25,26,27,28,29,"
26,PRDCT26,test product 26,85,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.webp,,"106,107,108",2,1,"2,4,5",,IN,"15,16,17,18,19,"
27,PRDCT27,test product 27,23,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_bNKGkSY.webp,,"109,110,111",,1,"2,4,5",,IN,"20,21,22,23,24,"
28,PRDCT28,test product 28,16,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_JAWzTel.webp,,"112,113,114",2,1,"2,4,5",,IN,"25,26,27,28,29,"
29,PRDCT29,test product 29,64,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_cyHq7Qh.webp,,"115,116,117",,1,"2,4,5",,IN,"15,16,17,18,19,"
30,PRDCT30,test product 30,41,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_VtlklVW.webp,,"118,119,120",4,1,"2,4,5",,IN,"20,21,22,23,24,"
31,PRDCT31,test product 31,48,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_XTWljcQ.jpg,,"121,122,123",,1,"2,4,5",,IN,"25,26,27,28,29,"
32,PRDCT32,test product 32,37,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_13lxXId.jpg,,"124,125,126",14,1,"2,4,5",,IN,"15,16,17,18,19,"
33,PRDCT33,test product 33,89,1,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_KUx2OxV.jpg,,"127,128,129",,1,"2,4,5",,IN,"20,21,22,23,24,"
34,PRDCT34,test product 34,58,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_Jo25JkP.jpg,,"130,131,132",14,1,"2,4,5",,IN,"25,26,27,28,29,"
35,PRDCT35,test product 35,3,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_aLBH1dT.jpg,,"133,134,135",,1,"2,4,5",,IN,"15,16,17,18,19,"
36,PRDCT36,test product 36,91,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_RJMLKMW.webp,,"136,137,138",17,1,"2,4,5",,IN,"20,21,22,23,24,"
37,PRDCT37,test product 37,62,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_hcdpXA9.jpg,,"139,140,141",,1,"2,4,5",,IN,"25,26,27,28,29,"
38,PRDCT38,test product 38,37,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_s4JtHCr.webp,,"142,143,144",5,1,"2,4,5",,IN,"15,16,17,18,19,"
39,PRDCT39,test product 39,97,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_QgEvjJW.jpg,,"145,146,147",,1,"2,4,5",,IN,"20,21,22,23,24,"
40,PRDCT40,test product 40,46,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_lQN8p36.jpg,,"148,149,150",4,1,"2,4,5",,IN,"25,26,27,28,29,"
41,PRDCT41,test product 41,14,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.jpg,,"151,152,153",,1,"2,4,5",,IN,"15,16,17,18,19,"
42,PRDCT42,test product 42,91,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_31KTRso.jpg,,"154,155,156",21,1,"2,4,5",,IN,"20,21,22,23,24,"
43,PRDCT43,test product 43,19,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_qRkvR6t.jpg,,"157,158,159",,1,"2,4,5",,IN,"25,26,27,28,29,"
44,PRDCT44,test product 44,43,1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_fBPlGwn.jpg,,"160,161,162",2,1,"2,4,5",,IN,"15,16,17,18,19,"
45,PRDCT45,test product 45,52,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_7fr8juG.jpg,,"163,164,165",,1,"2,4,5",,IN,"20,21,22,23,24,"
46,PRDCT46,test product 46,93,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.webp,,"166,167,168",14,1,"2,4,5",,IN,"25,26,27,28,29,"
47,PRDCT47,test product 47,37,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_bNKGkSY.webp,,"169,170,171",,1,"2,4,5",,IN,"15,16,17,18,19,"
48,PRDCT48,test product 48,96,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_JAWzTel.webp,,"172,173,174",28,1,"2,4,5",,IN,"20,21,22,23,24,"
49,PRDCT49,test product 49,47,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_cyHq7Qh.webp,,"175,176,177",,1,"2,4,5",,IN,"25,26,27,28,29,"
50,PRDCT50,test product 50,85,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_VtlklVW.webp,,"178,179,180",29,1,"2,4,5",,IN,"15,16,17,18,19,"
51,PRDCT51,test product 51,98,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_XTWljcQ.jpg,,"181,182,183",,1,"2,4,5",,IN,"20,21,22,23,24,"
52,PRDCT52,test product 52,93,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_13lxXId.jpg,,"184,185,186",8,1,"2,4,5",,IN,"25,26,27,28,29,"
53,PRDCT53,test product 53,59,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_KUx2OxV.jpg,,"187,188,189",,1,"2,4,5",,IN,"15,16,17,18,19,"
54,PRDCT54,test product 54,54,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_Jo25JkP.jpg,,"190,191,192",22,1,"2,4,5",,IN,"20,21,22,23,24,"
55,PRDCT55,test product 55,71,1,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_aLBH1dT.jpg,,"193,194,195",,1,"2,4,5",,IN,"25,26,27,28,29,"
56,PRDCT56,test product 56,35,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_RJMLKMW.webp,,"196,197,198",17,1,"2,4,5",,IN,"15,16,17,18,19,"
57,PRDCT57,test product 57,90,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_hcdpXA9.jpg,,"199,200,201",,1,"2,4,5",,IN,"20,21,22,23,24,"
58,PRDCT58,test product 58,52,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_s4JtHCr.webp,,"202,203,204",12,1,"2,4,5",,IN,"25,26,27,28,29,"
59,PRDCT59,test product 59,78,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_QgEvjJW.jpg,,"205,206,207",,1,"2,4,5",,IN,"15,16,17,18,19,"
60,PRDCT60,test product 60,26,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_lQN8p36.jpg,,"208,209,210",16,1,"2,4,5",,IN,"20,21,22,23,24,"
61,PRDCT61,test product 61,67,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.jpg,,"211,212,213",,1,"2,4,5",,IN,"25,26,27,28,29,"
62,PRDCT62,test product 62,19,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_31KTRso.jpg,,"214,215,216",26,1,"2,4,5",,IN,"15,16,17,18,19,"
63,PRDCT63,test product 63,81,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_qRkvR6t.jpg,,"217,218,219",,1,"2,4,5",,IN,"20,21,22,23,24,"
64,PRDCT64,test product 64,1,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_fBPlGwn.jpg,,"220,221,222",30,1,"2,4,5",,IN,"25,26,27,28,29,"
65,PRDCT65,test product 65,86,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_7fr8juG.jpg,,"223,224,225",,1,"2,4,5",,IN,"15,16,17,18,19,"
66,PRDCT66,test product 66,64,1,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.webp,,"226,227,228",2,1,"2,4,5",,IN,"20,21,22,23,24,"
67,PRDCT67,test product 67,65,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_bNKGkSY.webp,,"229,230,231",,1,"2,4,5",,IN,"25,26,27,28,29,"
68,PRDCT68,test product 68,77,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_JAWzTel.webp,,"232,233,234",25,1,"2,4,5",,IN,"15,16,17,18,19,"
69,PRDCT69,test product 69,29,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_cyHq7Qh.webp,,"235,236,237",,1,"2,4,5",,IN,"20,21,22,23,24,"
70,PRDCT70,test product 70,96,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_VtlklVW.webp,,"238,239,240",4,1,"2,4,5",,IN,"25,26,27,28,29,"
71,PRDCT71,test product 71,9,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_XTWljcQ.jpg,,"241,242,243",,1,"2,4,5",,IN,"15,16,17,18,19,"
72,PRDCT72,test product 72,21,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_13lxXId.jpg,,"244,245,246",29,1,"2,4,5",,IN,"20,21,22,23,24,"
73,PRDCT73,test product 73,47,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_KUx2OxV.jpg,,"247,248,249",,1,"2,4,5",,IN,"25,26,27,28,29,"
74,PRDCT74,test product 74,43,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_Jo25JkP.jpg,,"250,251,252",16,1,"2,4,5",,IN,"15,16,17,18,19,"
75,PRDCT75,test product 75,81,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_aLBH1dT.jpg,,"253,254,255",,1,"2,4,5",,IN,"20,21,22,23,24,"
76,PRDCT76,test product 76,26,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_RJMLKMW.webp,,"256,257,258",1,1,"2,4,5",,IN,"25,26,27,28,29,"
77,PRDCT77,test product 77,9,1,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_hcdpXA9.jpg,,"259,260,261",,1,"2,4,5",,IN,"15,16,17,18,19,"
78,PRDCT78,test product 78,28,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_s4JtHCr.webp,,"262,263,264",26,1,"2,4,5",,IN,"20,21,22,23,24,"
79,PRDCT79,test product 79,28,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_QgEvjJW.jpg,,"265,266,267",,1,"2,4,5",,IN,"25,26,27,28,29,"
80,PRDCT80,test product 80,58,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_lQN8p36.jpg,,"268,269,270",23,1,"2,4,5",,IN,"15,16,17,18,19,"
81,PRDCT81,test product 81,49,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.jpg,,"271,272,273",,1,"2,4,5",,IN,"20,21,22,23,24,"
82,PRDCT82,test product 82,20,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_31KTRso.jpg,,"274,275,276",7,1,"2,4,5",,IN,"25,26,27,28,29,"
83,PRDCT83,test product 83,42,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_qRkvR6t.jpg,,"277,278,279",,1,"2,4,5",,IN,"15,16,17,18,19,"
84,PRDCT84,test product 84,62,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_fBPlGwn.jpg,,"280,281,282",10,1,"2,4,5",,IN,"20,21,22,23,24,"
85,PRDCT85,test product 85,15,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_7fr8juG.jpg,,"283,284,285",,1,"2,4,5",,IN,"25,26,27,28,29,"
86,PRDCT86,test product 86,40,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test.webp,,"286,287,288",9,1,"2,4,5",,IN,"15,16,17,18,19,"
87,PRDCT87,test product 87,47,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_bNKGkSY.webp,,"289,290,291",,1,"2,4,5",,IN,"20,21,22,23,24,"
88,PRDCT88,test product 88,7,1,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_JAWzTel.webp,,"292,293,294",6,1,"2,4,5",,IN,"25,26,27,28,29,"
89,PRDCT89,test product 89,11,1,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_cyHq7Qh.webp,,"295,296,297",,1,"2,4,5",,IN,"15,16,17,18,19,"
90,PRDCT90,test product 90,62,1,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_VtlklVW.webp,,"298,299,300",2,1,"2,4,5",,IN,"20,21,22,23,24,"
91,PRDCT91,test product 91,32,1,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_XTWljcQ.jpg,,"31,32,33",,1,"2,4,5",,IN,"25,26,27,28,29,"
92,PRDCT92,test product 92,73,1,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_13lxXId.jpg,,"34,35,36",24,1,"2,4,5",,IN,"15,16,17,18,19,"
93,PRDCT93,test product 93,58,1,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_KUx2OxV.jpg,,"37,38,39",,1,"2,4,5",,IN,"20,21,22,23,24,"
94,PRDCT94,test product 94,9,1,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_Jo25JkP.jpg,,"40,41,42",25,1,"2,4,5",,IN,"25,26,27,28,29,"
95,PRDCT95,test product 95,28,1,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_aLBH1dT.jpg,,"43,44,45",,1,"2,4,5",,IN,"15,16,17,18,19,"
96,PRDCT96,test product 96,86,1,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus in lacinia libero. Nulla sit amet convallis nunc. Vivamus sed ultricies sem.",products/test/test_RJMLKMW.webp,,"46,47,48",22,1,"2,4,5",,IN,"20,21,22,23,24,"
